t_bjdtdb
2460357.954919
2460357.965845
2460357.97677
2460357.987698
2460357.998619
2460358.009538
2460358.020462
2460358.031383
2460358.042306
2460358.053228
2460358.064154
2460358.075075
2460358.085996
2460358.096918
2460358.107839
2460358.11876
2460358.129683
2460358.140606
2460358.151527
2460358.162448
2460358.173368
